epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5557,1.44455,2.3009,1.63726,0.69946,0.47311,0.5406,0.30412,1.40921,1.96339,1.6672,0.000547118,0.000547118,0.000547118
2,19.7005,1.38472,1.68577,1.53874,0.46682,0.44968,0.38553,0.17513,1.87675,2.67462,2.24964,0.00108095,0.00108095,0.00108095
3,27.6041,1.40777,1.53762,1.56568,0.57284,0.62243,0.62537,0.3169,1.70224,1.6257,2.00949,0.00159278,0.00159278,0.00159278
4,35.3329,1.40009,1.47169,1.55224,0.64113,0.66777,0.70592,0.38838,1.53668,1.5842,1.84958,0.00156798,0.00156798,0.00156798
5,43.1181,1.37775,1.34926,1.51983,0.65368,0.6066,0.64534,0.36118,1.44345,1.47435,1.72333,0.00153497,0.00153497,0.00153497
6,50.8698,1.31369,1.28283,1.49393,0.62508,0.63702,0.65602,0.36336,1.54996,1.49482,1.75668,0.00150197,0.00150197,0.00150197
7,58.6919,1.32776,1.25773,1.50112,0.88243,0.59703,0.72586,0.42414,1.50265,1.32937,1.7064,0.00146896,0.00146896,0.00146896
8,66.5294,1.31337,1.23413,1.48122,0.5723,0.57424,0.5891,0.32615,1.53241,1.67725,1.77193,0.00143595,0.00143595,0.00143595
9,74.1912,1.29238,1.18228,1.47945,0.81021,0.66172,0.74216,0.38876,1.62759,1.40274,1.89551,0.00140295,0.00140295,0.00140295
10,81.9033,1.25899,1.14552,1.43296,0.76995,0.71417,0.77426,0.44177,1.45292,1.16808,1.6657,0.00136994,0.00136994,0.00136994
11,89.5925,1.26854,1.14912,1.44689,0.80588,0.7433,0.83459,0.50806,1.39229,1.0318,1.61275,0.00133693,0.00133693,0.00133693
12,97.3106,1.24179,1.06931,1.4291,0.78584,0.7363,0.80328,0.48554,1.34073,1.03663,1.58407,0.00130393,0.00130393,0.00130393
13,105.018,1.23722,1.06402,1.42147,0.67579,0.69201,0.73471,0.41497,1.4469,1.17216,1.64314,0.00127092,0.00127092,0.00127092
14,112.64,1.25016,1.07101,1.41799,0.71941,0.74885,0.77863,0.4675,1.35659,1.1102,1.58021,0.00123791,0.00123791,0.00123791
15,120.382,1.21723,1.04981,1.4175,0.75037,0.75984,0.8018,0.46986,1.35719,1.07566,1.59853,0.00120491,0.00120491,0.00120491
